,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Jeison-Murillo,3.3,0.0,2.0,1.0,50.0,0.6060606060606061,0.30303030303030304,0.0,0.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert-Skov,4.8,1.0,11.0,4.0,36.36363636363637,2.291666666666667,0.8333333333333334,0.09090909090909091,0.25,20.8,3.0,0.0,0.0,0.7,0.7,0.06363636363636363,0.3,0.3
Denis-Vavro,3.7,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Erick-Pulgar,26.2,6.0,28.0,5.0,17.857142857142858,1.0687022900763359,0.19083969465648856,0.21428571428571427,1.2,28.5,5.0,5.0,5.0,4.8,1.0,0.03571428571428571,1.2,0.0
Giovanni-Di-Lorenzo,37.0,5.0,22.0,8.0,36.36363636363637,0.5945945945945946,0.21621621621621623,0.22727272727272727,0.625,12.0,0.0,0.0,0.0,3.3,2.8,0.12727272727272726,1.7,2.2
Joseph-Aidoo,5.0,1.0,3.0,1.0,33.33333333333333,0.6,0.2,0.3333333333333333,1.0,9.2,0.0,0.0,0.0,0.2,0.2,0.06666666666666667,0.8,0.8
Nacho-Monreal,30.2,1.0,14.0,4.0,28.57142857142857,0.4635761589403974,0.13245033112582782,0.07142857142857142,0.25,24.299999999999997,0.0,0.0,0.0,1.6,1.6,0.1142857142857143,-0.6,-0.6
Amir-Rrahmani,6.8,0.0,9.0,3.0,33.33333333333333,1.3235294117647058,0.4411764705882353,0.0,0.0,17.5,0.0,0.0,0.0,0.4,0.4,0.044444444444444446,-0.4,-0.4
Sebastiaan-Bornauw,3.2,0.0,3.0,0.0,0.0,0.9375,0.0,0.0,,16.5,0.0,0.0,0.0,0.1,0.1,0.03333333333333333,-0.1,-0.1
Emil-Krafth,33.0,1.0,11.0,5.0,45.45454545454545,0.3333333333333333,0.15151515151515152,0.09090909090909091,0.2,20.4,0.0,0.0,0.0,0.7,0.7,0.06363636363636363,0.3,0.3
Raúl-Albiol,24.5,1.0,4.0,2.0,50.0,0.16326530612244897,0.08163265306122448,0.25,0.5,20.8,0.0,0.0,0.0,0.2,0.2,0.05,0.8,0.8
Cristian-Ansaldi,20.1,3.0,36.0,7.0,19.444444444444446,1.7910447761194028,0.34825870646766166,0.08333333333333333,0.42857142857142855,25.8,5.0,0.0,0.0,1.4,1.4,0.03888888888888889,1.6,1.6
Erik-Pieters,14.0,1.0,11.0,3.0,27.27272727272727,0.7857142857142857,0.21428571428571427,0.09090909090909091,0.3333333333333333,22.0,0.0,0.0,0.0,1.1,1.1,0.1,-0.1,-0.1
Gary-Medel,5.0,0.0,2.0,0.0,0.0,0.4,0.0,0.0,,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
